mode,year,parent_area,summary_level,geoid,threshold,weighted_average
transit,2021,25,block_group,250010106002,900,12.6847826086956
transit,2021,25,block_group,250010106002,1200,35.1811594202898
transit,2021,25,block_group,250010106002,1500,89.0507246376811
transit,2021,25,block_group,250010106002,1800,136.105072463768
transit,2021,25,block_group,250010106002,2100,256.960144927536
transit,2021,25,block_group,250010106002,2400,642.184782608695
transit,2021,25,block_group,250010106002,2700,1118.01086956521
transit,2021,25,block_group,250010106002,3000,1786.64492753623
transit,2021,25,block_group,250010106002,3300,2344.82608695652
transit,2021,25,block_group,250010106002,3600,2941.46376811594
transit,2021,25,block_group,250010106003,300,39.6526548672566
transit,2021,25,block_group,250010106003,600,90.037610619469
transit,2021,25,block_group,250010106003,900,441.973451327433
transit,2021,25,block_group,250010106003,1200,668.077433628318
transit,2021,25,block_group,250010106003,1500,1230.44911504424
transit,2021,25,block_group,250010106003,1800,1762.94026548672
transit,2021,25,block_group,250010106003,2100,2071.0110619469
transit,2021,25,block_group,250010106003,2400,2403.86725663716
transit,2021,25,block_group,250010106003,2700,2967.08849557522
transit,2021,25,block_group,250010106003,3000,3411.55309734513
transit,2021,25,block_group,250010106003,3300,3869.1238938053
transit,2021,25,block_group,250010106003,3600,4471.98008849557
transit,2021,25,block_group,250010106004,300,47.1946308724832
transit,2021,25,block_group,250010106004,600,218.033557046979
transit,2021,25,block_group,250010106004,900,630.060402684563
transit,2021,25,block_group,250010106004,1200,1226.92617449664
transit,2021,25,block_group,250010106004,1500,1748.06040268456
transit,2021,25,block_group,250010106004,1800,2103.71812080536
transit,2021,25,block_group,250010106004,2100,2477.20805369127
transit,2021,25,block_group,250010106004,2400,2792.10067114093
transit,2021,25,block_group,250010106004,2700,3086.30201342281
transit,2021,25,block_group,250010106004,3000,3486.25503355704
transit,2021,25,block_group,250010106004,3300,3986.44295302013
transit,2021,25,block_group,250010106004,3600,4626.00671140939
transit,2021,25,block_group,250010107001,300,11.4510385756676
transit,2021,25,block_group,250010107001,600,35.4451038575667
transit,2021,25,block_group,250010107001,900,87.6379821958457
transit,2021,25,block_group,250010107001,1200,191.676557863501
transit,2021,25,block_group,250010107001,1500,331.881305637982
transit,2021,25,block_group,250010107001,1800,625.091988130563
transit,2021,25,block_group,250010107001,2100,907.649851632047
transit,2021,25,block_group,250010107001,2400,1276.62314540059
transit,2021,25,block_group,250010107001,2700,1708.57863501483
transit,2021,25,block_group,250010107001,3000,2157.45400593471
transit,2021,25,block_group,250010107001,3300,2809.66172106824
transit,2021,25,block_group,250010107001,3600,3392.39762611275
transit,2021,25,block_group,250010107002,300,38.0788643533123
transit,2021,25,block_group,250010107002,600,121.6214511041
transit,2021,25,block_group,250010107002,900,244.211356466876
transit,2021,25,block_group,250010107002,1200,394.955835962145
transit,2021,25,block_group,250010107002,1500,650.703470031545
transit,2021,25,block_group,250010107002,1800,932.86119873817
transit,2021,25,block_group,250010107002,2100,1205.52996845425
transit,2021,25,block_group,250010107002,2400,1568.75709779179
transit,2021,25,block_group,250010107002,2700,2079.44794952681
transit,2021,25,block_group,250010107002,3000,2445.29337539432
transit,2021,25,block_group,250010107002,3300,2842.06624605678
transit,2021,25,block_group,250010107002,3600,3273.41324921135
transit,2021,25,block_group,250010107003,300,9.98606271777003
transit,2021,25,block_group,250010107003,600,24.6689895470383
transit,2021,25,block_group,250010107003,900,44.8292682926829
